slug,title,classification,displayTitle,subtitle,convertibility,pattern,tag,publishedAt,updatedAt,description,articleType,serviceLinked,serviceIds,seoTitleKeep,notes
ai-coding-agent-comparison,AIコーディングエージェント4サービスを比較｜Codex・Claude Code・Cursor・Devinどれがおすすめ？,C. 複数サービス比較 / おすすめ / 選び方,AIコーディングエージェント4サービスを比較,Codex・Claude Code・Cursor・Devinどれがおすすめ？,人間確認推奨,Nサービスを比較,AIコーディングエージェント,2026-08-22,2026-08-22,OpenAI Codex、Claude Code、Cursor、DevinをIDE、CLI、クラウド、並列、コードベース理解、自動テスト、タスク委任で比較します。,service_comparison,あり,,可,
ai-customer-support-comparison,AIカスタマーサポート4サービスを比較｜Sierra・Decagon・Intercom Fin・Adaどれがおすすめ？,C. 複数サービス比較 / おすすめ / 選び方,AIカスタマーサポート4サービスを比較,Sierra・Decagon・Intercom Fin・Adaどれがおすすめ？,人間確認推奨,Nサービスを比較,AIカスタマーサポート,2026-08-23,2026-08-23,Sierra、Decagon、Intercom Fin、AdaをOutcome課金、オムニチャネル、既存helpdesk、多言語、自己改善、Enterprise運用で比較します。,service_comparison,あり,,可,
ai-meeting-minutes-tools,AI議事録ツールおすすめ5選を比較｜無料で使えるサービスと選び方【2026年版】,C. 複数サービス比較 / おすすめ / 選び方,AI議事録ツールおすすめ5選を比較,無料で使えるサービスと選び方【2026年版】,人間確認推奨,AとBを比較,AI議事録,2026-08-12,2026-08-12,AI議事録ツールのNotta、Fathom、Fireflies.ai、Otter.ai、tl;dvを公式情報をもとに比較。無料プラン、Web会議対応、選び方を整理します。,ranking,あり,SRV-000001-fathom;SRV-000002-notta,可,
ai-research-comparison,AIリサーチ4サービスを比較｜ChatGPT・Gemini・Perplexity・Claudeどれがおすすめ？【2026年版】,C. 複数サービス比較 / おすすめ / 選び方,AIリサーチ4サービスを比較,ChatGPT・Gemini・Perplexity・Claudeどれがおすすめ？【2026年版】,人間確認推奨,Nサービスを比較,AIリサーチ,2026-08-22,2026-08-22,ChatGPT deep research、Gemini Deep Research、Perplexity Advanced Deep Research、Claude Researchをソース、連携、調査深度で比較します。,service_comparison,あり,,可,
ai-shopping-comparison,AIショッピング4サービスを比較｜ChatGPT・Rakuten AI・Yahoo!・Googleどれが便利？【2026年版】,C. 複数サービス比較 / おすすめ / 選び方,AIショッピング4サービスを比較,ChatGPT・Rakuten AI・Yahoo!・Googleどれが便利？【2026年版】,人間確認推奨,Nサービスを比較,AIショッピング,2026-08-22,2026-08-22,ChatGPT、Rakuten AI、Yahoo!ショッピング AIエージェント、Google Universal Cartを商品探索、比較、購入、データ連携で比較します。,service_comparison,あり,,可,
ai-video-generator-comparison,動画生成AIサービス6社を比較｜Runway・Kling・Veo・Pika・Hailuo・Lumaどれがおすすめ？【2026年版】,C. 複数サービス比較 / おすすめ / 選び方,動画生成AIサービス6社を比較,Runway・Kling・Veo・Pika・Hailuo・Lumaどれがおすすめ？【2026年版】,人間確認推奨,Nサービスを比較,動画生成AI,2026-08-22,2026-08-22,Runway、Kling AI、Google Veo、Pika、Hailuo AI、Luma Dream Machineを料金、無料枠、動画品質、音声、解像度、商用利用、向いている用途で比較します。,service_comparison,あり,,可,
ai-voice-agent-comparison,AI音声エージェント4サービスを比較｜Vapi・Retell AI・Bland AI・ElevenAgentsどれがおすすめ？,C. 複数サービス比較 / おすすめ / 選び方,AI音声エージェント4サービスを比較,Vapi・Retell AI・Bland AI・ElevenAgentsどれがおすすめ？,人間確認推奨,Nサービスを比較,AI音声エージェント,2026-08-23,2026-08-23,Vapi、Retell AI、Bland AI、ElevenAgentsを料金構造、音声品質、モデル自由度、同時通話、運用機能で比較します。,service_comparison,あり,,可,
ai-workflow-automation-comparison,AI業務自動化4サービスを比較｜n8n・Gumloop・Lindy・Zapier Agentsどれがおすすめ？,C. 複数サービス比較 / おすすめ / 選び方,AI業務自動化4サービスを比較,n8n・Gumloop・Lindy・Zapier Agentsどれがおすすめ？,人間確認推奨,Nサービスを比較,AI業務自動化,2026-08-23,2026-08-23,n8n、Gumloop、Lindy、Zapier Agentsをワークフロー、AI Agent、セルフホスト、料金、連携、非エンジニア向け度で比較します。,service_comparison,あり,,可,
airtrip-domestic-flight-review,エアトリの国内航空券は安い？評判・手数料・メリット・予約前の注意点【2026年版】,A. 単体サービス紹介,エアトリ 国内航空券 評判,エアトリの国内航空券は安い？評判・手数料・メリット・予約前の注意点【2026年版】,ほぼ自動変換可能,Aは〜,旅行,2026-08-16,2026-08-16,エアトリ国内航空券の特徴、評判、手数料、メリット・デメリット、航空会社公式サイトや国内ツアーとの使い分けを整理します。,service_review,あり,SRV-000013-airtrip-domestic-flight,要確認,
airtrip-domestic-tour-review,エアトリ国内ツアーの評判・口コミは？メリット・デメリットとJTB・日本旅行との違い【2026年版】,A. 単体サービス紹介,エアトリ国内ツアー 評判,エアトリ国内ツアーの評判・口コミは？メリット・デメリットとJTB・日本旅行との違い【2026年版】,ほぼ自動変換可能,Aは〜,旅行,2026-08-15,2026-08-15,エアトリ国内ツアーの特徴、メリット・デメリット、利用時の注意点、JTB・日本旅行・Agodaとの違いを整理します。,service_review,あり,SRV-000012-airtrip-domestic-tour,可,
aliexpress-review,AliExpressとは？日本から買える？Choice・返品・安全性・注意点を解説【2026年版】,A. 単体サービス紹介,AliExpress,日本から買える？Choice・返品・安全性・注意点を解説【2026年版】,自動変換可能,Aとは？〜,EC・通販,2026-08-22,2026-08-22,AliExpressとはどんな海外通販サイトなのか。日本からの利用、Choice、Buyer Protection、安全に使うための注意点まで整理します。,service_review,あり,,可,
alternative-education-methods-comparison,幼児教育・教育法4種類を比較｜モンテッソーリ・シュタイナー・レッジョ・イエナプランの違い【2026年版】,C. 複数サービス比較 / おすすめ / 選び方,幼児教育・教育法4種類を比較,モンテッソーリ・シュタイナー・レッジョ・イエナプランの違い【2026年版】,人間確認推奨,違いを比較,教育法,2026-08-22,2026-08-22,モンテッソーリ、シュタイナー、レッジョ・エミリア、イエナプランを、子ども観、環境、遊び、学習、芸術、共同体、家庭での取り入れ方で比較します。,service_comparison,あり,,可,
amazon-fresh-review,Amazonフレッシュとは？配送料・最低注文金額・プライム会員・配送時間を解説【2026年版】,A. 単体サービス紹介,Amazonフレッシュ,配送料・最低注文金額・プライム会員・配送時間を解説【2026年版】,自動変換可能,Aとは？〜,ネットスーパー,2026-08-22,2026-08-22,Amazonフレッシュの最低注文金額、配送料、Amazonプライムとの関係、配送時間、取扱商品、対応エリア、ネットスーパーとしての向き不向きを2026年時点で整理します。,service_review,あり,,可,
amazon-music-unlimited-review,Amazon Music Unlimitedとは？料金・Primeとの違い・HD・空間オーディオを解説【2026年版】,A. 単体サービス紹介,Amazon Music Unlimited,料金・Primeとの違い・HD・空間オーディオを解説【2026年版】,自動変換可能,Aとは？〜,音楽サブスク,2026-08-22,2026-08-22,"Amazon Music Unlimitedの個人月額1,180円、プライム会員1,080円、1億曲以上、HD・空間オーディオ、オーディオブック、Prime Musicとの違いを2026年公式情報で整理します。",service_review,あり,,可,
amazon-prime-video-review,Amazon Prime Videoとは？料金・Amazonプライム・広告・レンタル・特典を解説【2026年版】,A. 単体サービス紹介,Amazon Prime Video,料金・Amazonプライム・広告・レンタル・特典を解説【2026年版】,自動変換可能,Aとは？〜,動画配信,2026-08-22,2026-08-22,"Amazon Prime VideoのAmazonプライム月600円・年5,900円、動画見放題、広告、レンタル・購入、Prime Videoチャンネル、配送特典との関係を整理します。",service_review,あり,,可,
ankimobile-review,"AnkiMobileとは？4,000円を払う意味とPC・Android版との違いをわかりやすく解説",A. 単体サービス紹介,AnkiMobile Flashcards,"AnkiMobileとは？4,000円を払う意味とPC・Android版との違いをわかりやすく解説",自動変換可能,Aとは？〜,アプリ,2026-08-21,2026-08-23,AnkiMobile Flashcardsは、間隔反復を使って暗記カードを学習できるAnkiのiPhone・iPad向け公式アプリです。語学、資格、医学、受験など、繰り返し覚える必要がある内容をカード化し、「忘れそうなタイミング」に合わせて復習できます。,service_review,あり,,可,
anyfont-review,AnyFontとは？使い方・料金・iPhoneにフォントを追加する意味をわかりやすく解説,A. 単体サービス紹介,AnyFont,使い方・料金・iPhoneにフォントを追加する意味をわかりやすく解説,自動変換可能,Aとは？〜,アプリ,2026-08-21,2026-08-23,AnyFontは、手持ちのTrueTypeやOpenTypeフォントをiPhone・iPadへ追加し、Pages、Keynote、Word、PowerPointなど対応アプリで使えるようにするフォント管理アプリです。日本のApp Storeでは300円の買い切りで、自分で用意した.ttf、.otf、.ttcフ,service_review,あり,,可,
anytime-fitness-review,エニタイムフィットネスとは？料金・24時間利用・店舗相互利用・設備を解説【2026年版】,A. 単体サービス紹介,エニタイムフィットネス,料金・24時間利用・店舗相互利用・設備を解説【2026年版】,自動変換可能,Aとは？〜,24時間ジム,2026-08-22,2026-08-22,エニタイムフィットネスの店舗ごとの月会費、24時間営業、国内外の相互利用、セキュリティキー、設備、退会前の注意点を2026年の公式情報で整理します。,service_review,あり,,可,
apple-music-review,Apple Musicとは？料金・ロスレス・空間オーディオ・学割・ファミリーを解説【2026年版】,A. 単体サービス紹介,Apple Music,料金・ロスレス・空間オーディオ・学割・ファミリーを解説【2026年版】,自動変換可能,Aとは？〜,音楽サブスク,2026-08-22,2026-08-22,"Apple Musicの個人月額1,180円、学生680円、ファミリー1,980円、ロスレス、空間オーディオ、Apple Music Classical、対応デバイスを2026年公式情報で整理します。",service_review,あり,,可,
art-moving-review,アート引越センターとは？料金の考え方・3つのコース・見積もり方法まで解説,A. 単体サービス紹介,アート引越センター,料金の考え方・3つのコース・見積もり方法まで解説,自動変換可能,Aとは？〜,引越し,2026-08-22,2026-08-24,アート引越センターは、単身から家族、オフィスまで幅広い引越しに対応する引越会社です。,service_review,あり,,可,
au-hikari-review,auひかりとは？料金・速度・auスマホとのセット割や他社光回線との違いを解説,A. 単体サービス紹介,auひかり,料金・速度・auスマホとのセット割や他社光回線との違いを解説,自動変換可能,Aとは？〜,ネット回線,2026-08-22,2026-08-25,auひかりは、KDDIが提供している家庭向けの光回線サービスです。,service_review,あり,,可,
au-jibun-bank-review,auじぶん銀行とは？金利・手数料・au PAYとの連携まで解説,A. 単体サービス紹介,auじぶん銀行,金利・手数料・au PAYとの連携まで解説,自動変換可能,Aとは？〜,ネット銀行,2026-08-22,2026-08-24,auじぶん銀行は、スマートフォンを中心に使えるネット銀行です。,service_review,あり,,可,
au-pay-review,au PAYとは？還元率・Pontaポイント・チャージ・請求書払いを解説【2026年版】,A. 単体サービス紹介,au PAY,還元率・Pontaポイント・チャージ・請求書払いを解説【2026年版】,自動変換可能,Aとは？〜,スマホ決済,2026-08-22,2026-08-22,au PAYの基本還元率0.5％、Pontaポイント、残高チャージ、クレジットカード、銀行口座、auかんたん決済、請求書払い、Pontaパス連携まで2026年公式情報で整理します。,service_review,あり,,可,
autosleep-review,AutoSleepとは？使い方・料金・Apple Watchでできることをわかりやすく解説,A. 単体サービス紹介,AutoSleep,使い方・料金・Apple Watchでできることをわかりやすく解説,自動変換可能,Aとは？〜,アプリ,2026-08-21,2026-08-23,AutoSleepは、Apple Watchを着けて眠るだけで睡眠時間や睡眠の質を自動記録できるiPhone向けアプリです。毎晩「睡眠開始」を押す必要がなく、Apple Watchのセンサーデータをもとに睡眠を記録し、朝にiPhoneで結果を確認できます。,service_review,あり,,可,
autosnore-review,AutoSnoreは買う価値ある？800円でいびき録音・睡眠中の音を記録できるアプリを解説【2026年版】,A. 単体サービス紹介,AutoSnore,は買う価値ある？800円でいびき録音・睡眠中の音を記録できるアプリを解説【2026年版】,ほぼ自動変換可能,Aは〜,アプリ,2026-08-19,2026-08-19,AutoSnoreは買う価値がある？800円の買い切り価格、いびき録音、Snurk Score、Apple Watch不要、プライバシー、使い方まで2026年最新情報をもとに解説します。,service_review,あり,SRV-000029-autosnore,可,
base44-review,Base44とは？AIアプリ開発の使い方・料金・無料版でどこまで作れるかを解説,A. 単体サービス紹介,Base44,AIアプリ開発の使い方・料金・無料版でどこまで作れるかを解説,自動変換可能,Aとは？〜,AIアプリ開発,2026-08-22,2026-08-24,Base44は、作りたいアプリやWebサイトを普段の言葉で説明すると、AIがフロントエンドだけでなく、バックエンド、データベース、認証、決済までまとめて構築してくれるAI App Builderです。,service_review,あり,,可,
baseball-live-review,ベースボールLIVEとは？月額770円・年額料金・見られる試合・注意点を解説【2026年版】,A. 単体サービス紹介,ベースボールLIVE,月額770円・年額料金・見られる試合・注意点を解説【2026年版】,自動変換可能,Aとは？〜,スポーツ配信,2026-08-22,2026-08-22,"ベースボールLIVEの月額770円、年額5,940円、パ・リーグ主催試合、見逃し配信、初回無料、ソフトバンク特典まで2026年の情報を整理します。",service_review,あり,,可,
baseball-streaming-comparison,プロ野球配信サービスを比較｜DAZN・パ・リーグTV・ベースボールLIVE・J SPORTSどれがおすすめ？【2026年版】,C. 複数サービス比較 / おすすめ / 選び方,プロ野球配信サービスを比較,DAZN・パ・リーグTV・ベースボールLIVE・J SPORTSどれがおすすめ？【2026年版】,人間確認推奨,その他,スポーツ配信,2026-08-22,2026-08-22,DAZN、パ・リーグTV、ベースボールLIVE、J SPORTSオンデマンドを料金・配信球団・交流戦・ファーム・他スポーツで比較。2026年の選び方を整理します。,service_comparison,あり,,可,
bears-housekeeping-review,ベアーズとは？料金・サービス内容・家事代行の特徴や他社との違いを解説,A. 単体サービス紹介,ベアーズ,料金・サービス内容・家事代行の特徴や他社との違いを解説,自動変換可能,Aとは？〜,家事代行,2026-08-22,2026-08-25,ベアーズは、掃除や料理などの日常的な家事を依頼できる家事代行サービスです。スタッフ教育やサポート体制を重視した運営が特徴で、家事の時間を減らしたい共働き世帯や、家のことを安心して任せたい人に利用されています。家事代行サービスには、スタッ,service_review,あり,,可,
beauty-booking-service-comparison,美容予約サービス4社を比較｜ホットペッパー・minimo・楽天ビューティ・OZmallどれがおすすめ？【2026年版】,C. 複数サービス比較 / おすすめ / 選び方,美容予約サービス4社を比較,ホットペッパー・minimo・楽天ビューティ・OZmallどれがおすすめ？【2026年版】,人間確認推奨,Nサービスを比較,美容予約,2026-08-22,2026-08-22,ホットペッパービューティー、minimo、楽天ビューティ、OZmallを、掲載の特徴、予約、口コミ、ポイント、クーポン、当日予約、向いている人で比較します。,service_comparison,あり,,可,
berry-film-review,Berryフィルムは買う価値ある？韓国風セルフィー・オールドフォン加工を解説【2026年版】,A. 単体サービス紹介,Berryフィルム,は買う価値ある？韓国風セルフィー・オールドフォン加工を解説【2026年版】,ほぼ自動変換可能,Aは〜,アプリ,2026-08-19,2026-08-19,Berryフィルムは買う価値がある？価格、機能、対応環境、注意点を2026年最新情報をもとに解説します。,service_review,あり,SRV-000033-berry-film,可,
best-ai-tools-10-comparison,おすすめAIツール10選を用途別に比較｜生成AI・検索・資料作成・AIエージェントまで【2026年版】,C. 複数サービス比較 / おすすめ / 選び方,おすすめAIツール10選を用途別に比較,生成AI・検索・資料作成・AIエージェントまで【2026年版】,人間確認推奨,おすすめN選,AIサービス,2026-08-21,2026-08-21,AIツールは急速に増えていますが、「結局どれを使えばいいのか分からない」という人も多いはずです。,service_comparison,なし,,可,
big-holiday-review,ビッグホリデーの評判・口コミは？国内ツアーのメリット・デメリットを解説【2026年版】,A. 単体サービス紹介,ビッグホリデー 評判,ビッグホリデーの評判・口コミは？国内ツアーのメリット・デメリットを解説【2026年版】,ほぼ自動変換可能,Aは〜,旅行,2026-08-16,2026-08-16,ビッグホリデーの特徴、評判・口コミ、国内ツアーで使うメリット・デメリット、他サービスとの違いを整理します。,service_review,あり,SRV-000015-big-holiday,可,
blackvideo-review,BlackVideoは買う価値ある？300円で素早く無音録画できるカメラアプリを解説【2026年版】,A. 単体サービス紹介,BlackVideo,は買う価値ある？300円で素早く無音録画できるカメラアプリを解説【2026年版】,ほぼ自動変換可能,Aは〜,アプリ,2026-08-19,2026-08-19,BlackVideoは買う価値がある？300円の買い切り価格、起動後すぐ録画、無音撮影、4K、Wi-Fi転送、標準カメラとの違いまで解説します。,service_review,あり,SRV-000030-blackvideo,可,
bland-ai-review,Bland AIとは？電話AIのPathways・使い方・料金をわかりやすく解説,A. 単体サービス紹介,Bland AI,電話AIのPathways・使い方・料金をわかりやすく解説,自動変換可能,Aとは？〜,AI音声エージェント,2026-08-23,2026-08-24,Bland AIは、企業の電話対応をAIへ任せるためのVoice AIプラットフォームです。,service_review,あり,,可,
bolt-new-review,Bolt.newとは？AIでWebサイト・アプリを作る方法・料金・無料版の限界を解説,A. 単体サービス紹介,Bolt.new,AIでWebサイト・アプリを作る方法・料金・無料版の限界を解説,自動変換可能,Aとは？〜,AIアプリ開発,2026-08-22,2026-08-24,Bolt.newは、作りたいWebサイトやWebアプリを自然な言葉で伝えると、AIがコードを書き、実行し、公開まで進めてくれるブラウザ型のAI開発サービスです。,service_review,あり,,可,
bookoff-online-buyback-review,ブックオフ宅配買取とは？送料・査定・本人確認・キャンセル・入金まで解説【2026年版】,A. 単体サービス紹介,ブックオフ宅配買取,送料・査定・本人確認・キャンセル・入金まで解説【2026年版】,自動変換可能,Aとは？〜,中古・買取,2026-08-22,2026-08-22,ブックオフ宅配買取の送料・手数料無料、最短翌日集荷、本人確認、査定結果、キャンセル時の返送料、入金までを整理します。,service_review,あり,,可,
bookoff-vs-surugaya-buyback,ブックオフと駿河屋の宅配買取を比較｜送料・手数料・査定・キャンセルはどっちがおすすめ？【2026年版】,C. 複数サービス比較 / おすすめ / 選び方,ブックオフと駿河屋の宅配買取を比較,送料・手数料・査定・キャンセルはどっちがおすすめ？【2026年版】,人間確認推奨,AとBを比較,中古・買取,2026-08-22,2026-08-22,ブックオフと駿河屋の宅配買取を送料、振込手数料、事前見積もり、キャンセル返送料、本・ゲーム・フィギュアの向き不向きで比較します。,service_comparison,あり,,可,
buysell-delivery-buyback-review,バイセルの宅配買取とは？送料・宅配キット・キャンセル・返送料を解説【2026年版】,A. 単体サービス紹介,バイセル宅配買取,バイセルの宅配買取とは？送料・宅配キット・キャンセル・返送料を解説【2026年版】,自動変換可能,Aとは？〜,中古・買取,2026-08-22,2026-08-22,バイセル宅配買取の送料・査定料・宅配キット無料、キャンセル時返送料、クーリングオフ、着物・ブランド等の取扱品を整理します。,service_review,あり,,可,
calcs-review,CalCsは買う価値ある？100円でApple Watchのカレンダー表示を便利にするアプリを解説【2026年版】,A. 単体サービス紹介,CalCs,は買う価値ある？100円でApple Watchのカレンダー表示を便利にするアプリを解説【2026年版】,ほぼ自動変換可能,Aは〜,アプリ,2026-08-19,2026-08-19,CalCsは買う価値がある？価格、機能、対応環境、注意点を2026年最新情報をもとに解説します。,service_review,あり,SRV-000031-calcs,可,
canva-ai-review,Canva AIとは？できること・使い方・無料版と有料プランの違いを解説,A. 単体サービス紹介,Canva AI,できること・使い方・無料版と有料プランの違いを解説,自動変換可能,Aとは？〜,AIサービス,2026-08-21,2026-08-24,Canva AIは、文章や画像を生成するだけでなく、プレゼン、SNS画像、動画、Webサイト、表計算、インタラクティブなコンテンツまで、Canva上でAIと一緒に作れる機能群です。,service_review,あり,,可,
carshare-service-comparison,カーシェア4社を比較｜タイムズ・三井・オリックス・楽天カーシェアどれがおすすめ？【2026年版】,C. 複数サービス比較 / おすすめ / 選び方,カーシェア4社を比較,タイムズ・三井・オリックス・楽天カーシェアどれがおすすめ？【2026年版】,人間確認推奨,Nサービスを比較,カーシェア,2026-08-22,2026-08-22,タイムズカー、三井のカーシェアーズ、オリックスカーシェア、楽天カーシェアを、月額、時間料金、距離料金、学生、月会費無料、利用頻度で比較します。,service_comparison,あり,,可,
casy-review,CaSy（カジー）とは？料金・使い方・他の家事代行との違いを解説,A. 単体サービス紹介,CaSy,（カジー）とは？料金・使い方・他の家事代行との違いを解説,自動変換可能,Aとは？〜,家事代行,2026-08-22,2026-08-25,CaSy（カジー）は、掃除や料理などの家事を依頼できる家事代行サービスです。スマートフォンやWebから簡単に予約できる手軽さが特徴で、忙しい人が日常的な家事負担を減らすために利用されています。家事代行サービスには、会社がスタッフを管理す,service_review,あり,,可,
casy-vs-bears,CaSyとベアーズを比較｜料金・掃除・料理・担当固定はどっちがおすすめ？【2026年版】,C. 複数サービス比較 / おすすめ / 選び方,CaSyとベアーズを比較,料金・掃除・料理・担当固定はどっちがおすすめ？【2026年版】,人間確認推奨,AとBを比較,家事代行,2026-08-22,2026-08-22,CaSyとベアーズを定期料金、2時間/3時間総額、スポット、担当固定、不在対応、即日、料理で比較します。,service_comparison,あり,,可,
chatgpt-deep-research-review,ChatGPT Deep Researchとは？使い方・料金・普通のWeb検索との違いを解説,A. 単体サービス紹介,ChatGPT deep research,ChatGPT Deep Researchとは？使い方・料金・普通のWeb検索との違いを解説,自動変換可能,Aとは？〜,AIリサーチ,2026-08-22,2026-08-24,ChatGPT Deep Researchは、複数のWebサイトやファイルを横断して情報を集め、内容を比較・整理し、出典付きのレポートまで作るChatGPTの調査機能です。,service_review,あり,,可,
chatgpt-shopping-assistant-review,ChatGPTショッピングアシスタントとは？商品の探し方・比較・購入まで何ができるかを解説,B. 2サービス比較,ChatGPTショッピングアシスタント vs は？商品,欲しい商品を会話で伝えると、条件を整理しながら候補を探し、価格、仕様、レビュー、メリット・デメリットまで比較してくれる商品リサーチ機能です。,ほぼ自動変換可能,Aとは？〜,AIショッピング,2026-08-22,2026-08-24,ChatGPTのショッピングアシスタントは、欲しい商品を会話で伝えると、条件を整理しながら候補を探し、価格、仕様、レビュー、メリット・デメリットまで比較してくれる商品リサーチ機能です。,service_review,あり,,可,
