slug,oldTitle,displayTitle,subtitle,classification,conversionStatus,notes
"lovable-vs-replit-agent","LovableとReplit Agent 4を比較｜AIアプリ開発・デザイン・バックエンド・公開はどっち？","LovableとReplit Agent 4を比較","AIアプリ開発・デザイン・バックエンド・公開方法の違いを比較","B. 2サービス比較","移行済み",""
"mercari-vs-yahoo-furima","メルカリとYahoo!フリマを比較｜販売手数料10％ vs 5％、送料・売れやすさはどっち？","メルカリとYahoo!フリマを比較","販売手数料・送料・売れやすさ・売上金の違いを比較","B. 2サービス比較","移行済み",""
"montessori-vs-steiner","モンテッソーリ教育とシュタイナー教育を比較｜違い・向いている家庭・幼児期の考え方を解説【2026年版】","モンテッソーリ教育とシュタイナー教育を比較","幼児期の考え方・教具・遊び・家庭での取り入れ方の違いを比較","B. 2サービス比較","移行済み",""
"n8n-vs-gumloop","n8nとGumloopを比較｜AI Agent・ワークフロー・セルフホスト・料金はどっち？【2026年版】","n8nとGumloopを比較","AI Agent・ワークフロー・セルフホスト・料金単位の違いを比較","B. 2サービス比較","移行済み",""
"official-ticket-resale-vs-ticket-market","公式リセールとチケット売買サイトの違い｜どっちを使う？転売・本人確認・安全性を解説【2026年版】","公式リセールとチケット売買サイトを比較","定価・手数料・本人確認・入場リスクの違いを比較","B. 2サービス比較","移行済み",""
"premium-water-vs-cosmo-water","プレミアムウォーターとコスモウォーターを比較｜料金・ボトル交換・契約期間はどっち？【2026年版】","プレミアムウォーターとコスモウォーターを比較","24L料金・サーバー・ボトル交換・契約期間の違いを比較","B. 2サービス比較","移行済み",""
"rakuten-bank-vs-docomo-bank","楽天銀行とドコモの銀行を比較｜金利・ATM・振込・証券連携はどっち？【2026年版】","楽天銀行とドコモの銀行を比較","普通預金・ATM・振込・経済圏連携の違いを比較","B. 2サービス比較","移行済み",""
"sakai-vs-art-moving","サカイ引越センターとアート引越センターを比較｜プラン・見積もり・荷造りはどっち？【2026年版】","サカイ引越センターとアート引越センターを比較","プラン・見積もり・荷造り・オプションの違いを比較","B. 2サービス比較","移行済み",""
"sierra-vs-decagon","SierraとDecagonを比較｜AIカスタマーサポート・成果課金・自己改善はどっち？【2026年版】","SierraとDecagonを比較","AI Agent・成果課金・自己改善・有人支援の違いを比較","B. 2サービス比較","移行済み",""
"suumo-moving-estimate-review","SUUMO引越し見積もりとは？電話番号なしで比較できる仕組み・使い方まで解説","","","B. 2サービス比較","Phase 3へ移動候補","監査上は2サービス比較だが、実体はSUUMO引越し見積もり単体紹介のため未移行"
"temu-vs-aliexpress","Temu vs AliExpress｜どっちがいい？安さ・品揃え・返品・配送の違いを比較【2026年版】","TemuとAliExpressを比較","安さ・品揃え・返品・配送の違いを比較","B. 2サービス比較","移行済み",""
"tepco-vs-tokyo-gas-electricity","東京電力と東京ガスの電気を比較｜料金単価・燃料費調整・セット割はどっち？【2026年版】","東京電力と東京ガスの電気を比較","料金単価・燃料費調整・ガスセット割の違いを比較","B. 2サービス比較","移行済み",""
"tiktok-shop-vs-search-ec","TikTok ShopとAmazon・楽天型ECは何が違う？ディスカバリーECと検索ECを比較【2026年版】","TikTok ShopとAmazon・楽天型ECを比較","商品発見・検索・LIVE・価格確認・買い方の違いを比較","B. 2サービス比較","移行済み",""
"vapi-vs-retell-ai","VapiとRetell AIを比較｜AI電話の料金・モデル・テスト・運用はどっち？【2026年版】","VapiとRetell AIを比較","AI電話の料金・モデル自由度・テスト・運用機能の違いを比較","B. 2サービス比較","移行済み",""
"yahoo-shopping-ai-agent-review","Yahoo!ショッピング AIエージェントとは？商品探し・比較・購入後まで何ができるか解説","","","B. 2サービス比較","Phase 3へ移動候補","監査上は2サービス比較だが、実体はYahoo!ショッピング AIエージェント単体紹介のため未移行"
