slug,oldTitle,displayTitle,subtitle,classification,conversionStatus,notes
"autosleep-review","AutoSleepとは？使い方・料金・Apple Watchでできることをわかりやすく解説","AutoSleep","使い方・料金・Apple Watchでできることをわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"autosnore-review","AutoSnoreは買う価値ある？800円でいびき録音・睡眠中の音を記録できるアプリを解説【2026年版】","AutoSnore","買う価値・800円でいびき録音・睡眠中の音を記録できるアプリを解説【2026年版】","A. 単体サービス紹介","ほぼ自動変換可能",""
"base44-review","Base44とは？AIアプリ開発の使い方・料金・無料版でどこまで作れるかを解説","Base44","AIアプリ開発の使い方・料金・無料版でどこまで作れるかを解説","A. 単体サービス紹介","自動変換可能",""
"baseball-live-review","ベースボールLIVEとは？月額770円・年額料金・見られる試合・注意点を解説【2026年版】","ベースボールLIVE","月額770円・年額料金・見られる試合・注意点を解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"bears-housekeeping-review","ベアーズとは？料金・サービス内容・家事代行の特徴や他社との違いを解説","ベアーズ","料金・サービス内容・家事代行の特徴、他社との違いを解説","A. 単体サービス紹介","自動変換可能",""
"berry-film-review","Berryフィルムは買う価値ある？韓国風セルフィー・オールドフォン加工を解説【2026年版】","Berryフィルム","買う価値・韓国風セルフィー・オールドフォン加工を解説【2026年版】","A. 単体サービス紹介","ほぼ自動変換可能",""
"big-holiday-review","ビッグホリデーの評判・口コミは？国内ツアーのメリット・デメリットを解説【2026年版】","ビッグホリデー","評判・口コミ、国内ツアーのメリット・デメリットを解説【2026年版】","A. 単体サービス紹介","ほぼ自動変換可能",""
"blackvideo-review","BlackVideoは買う価値ある？300円で素早く無音録画できるカメラアプリを解説【2026年版】","BlackVideo","買う価値・300円で素早く無音録画できるカメラアプリを解説【2026年版】","A. 単体サービス紹介","ほぼ自動変換可能",""
"bland-ai-review","Bland AIとは？電話AIのPathways・使い方・料金をわかりやすく解説","Bland AI","電話AIのPathways・使い方・料金をわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"bolt-new-review","Bolt.newとは？AIでWebサイト・アプリを作る方法・料金・無料版の限界を解説","Bolt.new","AIでWebサイト・アプリを作る方法・料金・無料版の限界を解説","A. 単体サービス紹介","自動変換可能",""
"bookoff-online-buyback-review","ブックオフ宅配買取とは？送料・査定・本人確認・キャンセル・入金まで解説【2026年版】","ブックオフ宅配買取","送料・査定・本人確認・キャンセル・入金まで解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"buysell-delivery-buyback-review","バイセルの宅配買取とは？送料・宅配キット・キャンセル・返送料を解説【2026年版】","バイセル宅配買取","送料・宅配キット・キャンセル・返送料を解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"calcs-review","CalCsは買う価値ある？100円でApple Watchのカレンダー表示を便利にするアプリを解説【2026年版】","CalCs","買う価値・100円でApple Watchのカレンダー表示を便利にするアプリを解説【2026年版】","A. 単体サービス紹介","ほぼ自動変換可能",""
"canva-ai-review","Canva AIとは？できること・使い方・無料版と有料プランの違いを解説","Canva AI","できること・使い方・無料版と有料プランの違いを解説","A. 単体サービス紹介","自動変換可能",""
"casy-review","CaSy（カジー）とは？料金・使い方・他の家事代行との違いを解説","CaSy","料金・使い方・他の家事代行との違いを解説","A. 単体サービス紹介","自動変換可能",""
"chatgpt-deep-research-review","ChatGPT Deep Researchとは？使い方・料金・普通のWeb検索との違いを解説","ChatGPT deep research","使い方・料金・普通のWeb検索との違いを解説","A. 単体サービス紹介","自動変換可能",""
"chocozap-review","chocoZAP（チョコザップ）とは？料金・設備・全店舗利用・退会を解説【2026年版】","chocoZAP","料金・設備・全店舗利用・退会を解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"claude-code-review","Claude Codeとは？使い方・料金・ProとMaxの違いまでわかりやすく解説","Claude Code","使い方・料金・ProとMaxの違いまでわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"claude-research-review","Claude Researchとは？通常のWeb検索との違い・使い方・料金まで解説","Claude Research","通常のWeb検索との違い・使い方・料金まで解説","A. 単体サービス紹介","自動変換可能",""
"claude-review","Claudeとは？できること・使い方・無料版とPro・Maxの違いをわかりやすく解説","Claude","できること・使い方・無料版とPro・Maxの違いをわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"cleaning-panda-review","クリーニングパンダとは？料金・15ヶ月保管・無料サービス・衣類パックを解説【2026年版】","クリーニングパンダ","料金・15ヶ月保管・無料サービス・衣類パックを解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"coderabbit-review","CodeRabbitとは？使い方・料金・どんなチームに向いているかをわかりやすく解説","CodeRabbit","使い方・料金・どんなチームに向いているかをわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"comic-cmoa-review","コミックシーモアとは？使い方・料金・どんな人に向いているかをわかりやすく解説","コミックシーモア","使い方・料金・どんな人に向いているかをわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"cosmo-water-review","コスモウォーターはどんなウォーターサーバー？料金・smartプラスNext・解約金まで解説","コスモウォーター","どんなウォーターサーバーか、料金・smartプラスNext・解約金まで解説","A. 単体サービス紹介","ほぼ自動変換可能",""
"cursor-review","Cursorとは？AIコードエディタの使い方・料金・Proにする意味を解説","Cursor","AIコードエディタの使い方・料金・Proにする意味を解説","A. 単体サービス紹介","自動変換可能",""
"d-card-review","dカードとは？年会費・還元率・dポイント・d払い・ドコモとの相性を解説【2026年版】","dカード","年会費・還元率・dポイント・d払い・ドコモとの相性を解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"dazn-review","DAZNとは？料金・DAZN BASEBALL・見られるスポーツ・注意点を解説【2026年版】","DAZN","料金・DAZN BASEBALL・見られるスポーツ・注意点を解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"dbarai-review","d払いとは？還元率・dポイント・dカード・電話料金合算払いを解説【2026年版】","d払い","還元率・dポイント・dカード・電話料金合算払いを解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"decagon-review","Decagonとは？AOPで作るAIカスタマーサポートの仕組み・料金・Sierraとの違いを考える前に知りたい特徴","Decagon","AOPで作るAIカスタマーサポートの仕組み・料金・Sierraとの違いを考える前に知りたい特徴","A. 単体サービス紹介","自動変換可能",""
"delipicks-review","DELIPICKSとは？料金・送料・まとめ買い割引・お試しセットを解説【2026年版】","DELIPICKS","料金・送料・まとめ買い割引・お試しセットを解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"devin-review","Devinとは？AIソフトウェアエンジニアの使い方・料金・月20ドルで何ができるかを解説","Devin","AIソフトウェアエンジニアの使い方・料金・月20ドルで何ができるかを解説","A. 単体サービス紹介","自動変換可能",""
"dia-browser-review","Dia Browserとは？AIブラウザの使い方・料金・無料版との違いを解説","Dia Browser","AIブラウザの使い方・料金・無料版との違いを解説","A. 単体サービス紹介","自動変換可能",""
"disney-plus-review","Disney+とは？料金・作品ジャンル・使い方と他社動画配信サービスとの違いを解説","Disney+","料金・作品ジャンル・使い方と他社動画配信サービスとの違いを解説","A. 単体サービス紹介","自動変換可能",""
"dmm-books-review","DMMブックスとは？使い方・料金・どんな人に向いているかをわかりやすく解説","DMMブックス","使い方・料金・どんな人に向いているかをわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"docomo-bank-review","ドコモ銀行とは？「ドコモの銀行」ドコモSMTBネット銀行の特徴・手数料・dポイント連携を解説","ドコモの銀行","「ドコモの銀行」ドコモSMTBネット銀行の特徴・手数料・dポイント連携を解説","A. 単体サービス紹介","自動変換可能",""
"dropbox-review","Dropboxとは？料金・使い方・Google Driveなど他のクラウドストレージとの違いを解説","Dropbox","料金・使い方・Google Driveなど他のクラウドストレージとの違いを解説","A. 単体サービス紹介","自動変換可能",""
"duga-review","DUGAとは？使い方・料金・単品購入と月額見放題の違いをわかりやすく解説","DUGA","使い方・料金・単品購入と月額見放題の違いをわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"ebay-review","eBayとは？日本から買う方法・安全性・関税・返品・マネーバック保証を解説【2026年版】","eBay","日本から買う方法・安全性・関税・返品・マネーバック保証を解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"ebookjapan-review","ebookjapanとは？使い方・料金・どんな人に向いているかをわかりやすく解説","ebookjapan","使い方・料金・どんな人に向いているかをわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"ee35-film-camera-review","EE35 Film Cameraとは？使い方・料金・300円で何ができるかをわかりやすく解説","EE35 フィルムカメラ","使い方・料金・300円で何ができるかをわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"eiken-pre1-detatan-review","英検準1級 でた単とは？使い方・料金・プレミアムは必要かをわかりやすく解説","英検®準1級 でた単","使い方・料金・プレミアムは必要かをわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"elevenagents-review","ElevenAgentsとは？できること・作り方・料金・電話対応まで解説","ElevenAgents","できること・作り方・料金・電話対応まで解説","A. 単体サービス紹介","自動変換可能",""
"eneos-electricity-review","ENEOSでんきは安い？Vプランの料金・にねん とく2割・切り替える意味を解説","ENEOSでんき","安い？Vプランの料金・にねん とく2割・切り替える意味を解説","A. 単体サービス紹介","ほぼ自動変換可能",""
"eplus-review","イープラスとは？手数料・プレオーダー・スマチケ・定価リセールまで解説【2026年版】","イープラス","手数料・プレオーダー・スマチケ・定価リセールまで解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"everies-review","everiesは買う価値ある？身の回りのモノと話せるARアプリを解説【2026年版】","everies","買う価値・身の回りのモノと話せるARアプリを解説【2026年版】","A. 単体サービス紹介","ほぼ自動変換可能",""
"every-frecious-review","エブリィフレシャスはどんな浄水型ウォーターサーバー？料金・機種の違い・3年未満の解約金まで解説","エブリィフレシャス","どんな浄水型ウォーターサーバーか、料金・機種の違い・3年未満の解約金まで解説","A. 単体サービス紹介","ほぼ自動変換可能",""
"famipay-review","ファミペイとは？ファミマポイント・還元率・チャージ・公共料金・使える店を解説【2026年版】","ファミペイ","ファミマポイント・還元率・チャージ・公共料金・使える店を解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"fanza-review","FANZAとは？使い方・料金・見放題の違いまでわかりやすく解説","FANZA","使い方・料金・見放題の違いまでわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"fathom-review","Fathomとは？使い方・料金・どんな人に向いているかをわかりやすく解説","Fathom","使い方・料金・どんな人に向いているかをわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"fireflies-ai-review","Fireflies.aiとは？使い方・料金・どんな人に向いているかをわかりやすく解説","Fireflies.ai","使い方・料金・どんな人に向いているかをわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"firefox-smart-window-review","Firefox Smart Windowとは？AIブラウザの特徴・使い方・日本で使えるかを解説","Firefox Smart Window","AIブラウザの特徴・使い方・日本で使えるかを解説","A. 単体サービス紹介","自動変換可能",""
"fit-easy-review","FIT-EASY（フィットイージー）とは？料金・設備・サウナ・相互利用・退会を解説【2026年版】","FIT-EASY","料金・設備・サウナ・相互利用・退会を解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"fit-place24-review","FIT PLACE24とは？料金・設備・12か月契約・相互利用・退会を解説【2026年版】","FIT PLACE24","料金・設備・12か月契約・相互利用・退会を解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"foodable-review","foodableとは？家電＋食材サブスクの料金・仕組み・途中解約をわかりやすく解説","foodable","家電＋食材サブスクの料金・仕組み・途中解約をわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"frecious-review","フレシャスはどんなウォーターサーバー？天然水の料金・機種の違い・解約金まで解説","フレシャス","どんなウォーターサーバーか、天然水の料金・機種の違い・解約金まで解説","A. 単体サービス紹介","ほぼ自動変換可能",""
"gamma-review","Gammaとは？AIプレゼン作成の使い方・料金・無料版でどこまでできるかを解説","Gamma","AIプレゼン作成の使い方・料金・無料版でどこまでできるかを解説","A. 単体サービス紹介","自動変換可能",""
"gemini-deep-research-review","Gemini Deep Researchとは？使い方・料金・普通の検索との違いをわかりやすく解説","Gemini Deep Research","使い方・料金・普通の検索との違いをわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"gemini-in-chrome-review","Gemini in Chromeとは？使い方・料金・自動ブラウジングで何ができるかを解説","Gemini in Chrome","使い方・料金・自動ブラウジングで何ができるかを解説","A. 単体サービス紹介","自動変換可能",""
"gemini-review","Geminiとは？できること・使い方・無料版とGoogle AI Pro・Ultraの違いを解説","Gemini","できること・使い方・無料版とGoogle AI Pro・Ultraの違いを解説","A. 単体サービス紹介","自動変換可能",""
"genko-planner-review","原稿プランナーは買う価値ある？漫画・小説の締切管理アプリを解説【2026年版】","原稿プランナー","買う価値・漫画・小説の締切管理アプリを解説【2026年版】","A. 単体サービス紹介","ほぼ自動変換可能",""
"genspark-review","Gensparkとは？AIワークスペースの使い方・料金・無料版でどこまでできるかを解説","Genspark","AIワークスペースの使い方・料金・無料版でどこまでできるかを解説","A. 単体サービス紹介","自動変換可能",""
"google-drive-google-one-review","Google Drive・Google Oneとは？料金・容量追加の仕組みと他社クラウドストレージとの違いを解説","Google Drive / Google One","料金・容量追加の仕組みと他社クラウドストレージとの違いを解説","A. 単体サービス紹介","自動変換可能",""
"google-universal-cart-review","Google Universal Cartとは？Gemini・検索をまたいで買い物できる新しいAIカートを解説","Google Universal Cart","Gemini・検索をまたいで買い物できる新しいAIカートを解説","A. 単体サービス紹介","自動変換可能",""
"google-veo-review","Google Veoとは？Veo 3.1・音声生成・Flow・Gemini・料金を解説【2026年版】","Google Veo","Veo 3.1・音声生成・Flow・Gemini・料金を解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"green-beans-review","Green Beans（グリーンビーンズ）とは？送料・最低注文金額・配送時間・WAON POINTを解説【2026年版】","Green Beans","送料・最低注文金額・配送時間・WAON POINTを解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"greplica-review","Greplicaとは？使い方・料金・AIコーディングで何が変わるかをわかりやすく解説","Greplica","使い方・料金・AIコーディングで何が変わるかをわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"groundwire-review","Groundwireとは？使い方・料金・買い切りで使う意味をわかりやすく解説","Groundwire","使い方・料金・買い切りで使う意味をわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"gumloop-review","Gumloopとは？AIエージェントとワークフローの違い・使い方・料金を解説","Gumloop","AIエージェントとワークフローの違い・使い方・料金を解説","A. 単体サービス紹介","自動変換可能",""
"h-next-review","H-NEXTとは？使い方・料金・U-NEXTとの関係をわかりやすく解説","H-NEXT","使い方・料金・U-NEXTとの関係をわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"handy-art-reference-tool-review","Handy Art Reference Toolは買う価値ある？300円で使える3Dデッサン資料アプリを解説【2026年版】","Handy Art Reference Tool","買う価値・300円で使える3Dデッサン資料アプリを解説【2026年版】","A. 単体サービス紹介","ほぼ自動変換可能",""
"heard-ai-review","Heard AIとは？カップル向けAIの使い方・料金・どんな人に向いているかを解説","Heard AI","カップル向けAIの使い方・料金・どんな人に向いているかを解説","A. 単体サービス紹介","自動変換可能",""
"hitomaku-review","ひとまくは買う価値ある？脚本・シナリオ執筆から香盤表まで管理できるアプリを解説【2026年版】","ひとまく","買う価値・脚本・シナリオ執筆から香盤表まで管理できるアプリを解説【2026年版】","A. 単体サービス紹介","ほぼ自動変換可能",""
"homeserve-review","ホームサーブとは？定額制修理サービスの料金・対象範囲・入る意味を解説","ホームサーブ","定額制修理サービスの料金・対象範囲・入る意味を解説","A. 単体サービス紹介","自動変換可能",""
"hotpepper-beauty-review","ホットペッパービューティーとは？予約・ポイント・口コミ・キャンセル・使い方を解説【2026年版】","ホットペッパービューティー","予約・ポイント・口コミ・キャンセル・使い方を解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"human-anatomy-atlas-2026-review","Human Anatomy Atlas 2026とは？使い方・料金・どんな人に向いているかをわかりやすく解説","Human Anatomy Atlas 2026","使い方・料金・どんな人に向いているかをわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"icloud-plus-review","iCloud+とは？料金・写真保存・バックアップと他社クラウドとの違いを解説","iCloud+","料金・写真保存・バックアップと他社クラウドとの違いを解説","A. 単体サービス紹介","自動変換可能",""
"icoca-review","ICOCAとは？カード・モバイルICOCA・デポジット・WESTERポイントを解説【2026年版】","ICOCA","カード・モバイルICOCA・デポジット・WESTERポイントを解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"instant-english-composition-review","どんどん話すための瞬間英作文トレーニングとは？1,300円のアプリ版を買う意味・使い方を解説","瞬間英作文","1,300円のアプリ版を買う意味・使い方を解説","A. 単体サービス紹介","自動変換可能",""
"intercom-fin-review","Intercom Finとは？AIカスタマーサポートの使い方・料金・1件0.99ドルの「Outcome」を解説","Intercom Fin","AIカスタマーサポートの使い方・料金・1件0.99ドルの「Outcome」を解説","A. 単体サービス紹介","自動変換可能",""
"ireal-pro-review","iReal Proとは？使い方・料金・3,500円を払う意味をわかりやすく解説","iReal Pro","使い方・料金・3,500円を払う意味をわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"j-coin-pay-review","J-Coin Payとは？銀行口座・送金・出金・手数料0円・使える店を解説【2026年版】","J-Coin Pay","銀行口座・送金・出金・手数料0円・使える店を解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"j-sports-on-demand-review","J SPORTSオンデマンドとは？野球パックの料金・見られる試合・U25割を解説【2026年版】","J SPORTSオンデマンド","野球パックの料金・見られる試合・U25割を解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"jenaplan-education","イエナプラン教育とは？異年齢学級・4つの基本活動・20の原則・特徴を解説【2026年版】","イエナプラン教育","異年齢学級・4つの基本活動・20の原則・特徴を解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"jmty-review","ジモティーとは？使い方・手数料・受け渡し方法までわかりやすく解説","ジモティー","使い方・手数料・受け渡し方法までわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"jtb-domestic-travel-review","JTB国内旅行とは？予約できるもの・使い方・キャンセル前に知りたいことを解説","JTB国内旅行","予約できるもの・使い方・キャンセル前に知りたいことを解説","A. 単体サービス紹介","自動変換可能",""
"jtrip-review","J-TRIP（ジェイトリップ）の評判・口コミは？JALで行く国内ツアーのメリット・デメリットを解説【2026年版】","J-TRIP（ジェイトリップ）","評判・口コミ、JALで行く国内ツアーのメリット・デメリットを解説【2026年版】","A. 単体サービス紹介","ほぼ自動変換可能",""
"just-press-record-review","Just Press Recordとは？使い方・料金・文字起こしまでわかりやすく解説","Just Press Record","使い方・料金・文字起こしまでわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"kling-ai-review","Kling AIとは？Kling 3.0・料金・無料枠・クレジット・商用利用を解説【2026年版】","Kling AI","Kling 3.0・料金・無料枠・クレジット・商用利用を解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"koala-sampler-review","Koala Samplerとは？使い方・料金・追加課金までわかりやすく解説","Koala Sampler","使い方・料金・追加課金までわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"krisp-review","Krispとは？ノイズ除去・AI議事録の使い方と料金をわかりやすく解説","Krisp","ノイズ除去・AI議事録の使い方と料金をわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"lawson-ticket-review","ローチケとは？手数料・買い方・Loppi・電子チケット・リセールまで解説【2026年版】","ローチケ","手数料・買い方・Loppi・電子チケット・リセールまで解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"lenet-review","リネットとは？料金・送料・プレミアム会員・保管・最短納期を解説【2026年版】","リネット","料金・送料・プレミアム会員・保管・最短納期を解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"letaido-review","Letaidoとは？月99ドルで何を任せられる？Ahrefs連携と料金を解説","Letaido","月99ドルで何を任せられる？Ahrefs連携と料金を解説","A. 単体サービス紹介","自動変換可能",""
"lindy-review","Lindyとは？AIチームメイトの使い方・料金・どんな仕事を任せられるかを解説","Lindy","AIチームメイトの使い方・料金・どんな仕事を任せられるかを解説","A. 単体サービス紹介","自動変換可能",""
"linemo-review","LINEMOとは？ベストプランとベストプランVの違い・料金・LINEギガフリーまで解説","LINEMO","ベストプランとベストプランVの違い・料金・LINEギガフリーまで解説","A. 単体サービス紹介","自動変換可能",""
"lispass-review","リスパス（LisPass）とは？共通テスト英語リスニングの使い方・料金を解説","リスパス","共通テスト英語リスニングの使い方・料金を解説","A. 単体サービス紹介","自動変換可能",""
"lovable-review","Lovableとは？AIでWebアプリを作る方法・料金・無料版でどこまで試せるかを解説","Lovable","AIでWebアプリを作る方法・料金・無料版でどこまで試せるかを解説","A. 単体サービス紹介","自動変換可能",""
"mangaoukoku-review","まんが王国とは？無料漫画・ポイント還元・月額コース・使い方を解説【2026年版】","まんが王国","無料漫画・ポイント還元・月額コース・使い方を解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"manus-review","Manusとは？AIエージェントの使い方・料金・無料版でどこまでできるかを解説","Manus","AIエージェントの使い方・料金・無料版でどこまでできるかを解説","A. 単体サービス紹介","自動変換可能",""
"meetgeek-review","MeetGeekとは？無料版とPro・Businessの違い、使い方をわかりやすく解説","MeetGeek","無料版とPro・Businessの違い、使い方をわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"meiko-global-engineer-hub-review","明光グローバルエンジニアHubとは？外国人エンジニア向け転職支援の特徴を解説","明光グローバルエンジニアHub","外国人エンジニア向け転職支援の特徴を解説","A. 単体サービス紹介","自動変換可能",""
"memmy-agent-review","Mem Agentとは？何を自動で覚えてくれる？料金・Mem Proとの違いを解説","Mem Agent","何を自動で覚えてくれる？料金・Mem Proとの違いを解説","A. 単体サービス紹介","自動変換可能",""
"mercari-review","メルカリとは？買い方・売り方・手数料・発送方法までわかりやすく解説","メルカリ","買い方・売り方・手数料・発送方法までわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"merpay-review","メルペイとは？メルカリ売上金・iD・コード払い・クレジット・ポイントを解説【2026年版】","メルペイ","メルカリ売上金・iD・コード払い・クレジット・ポイントを解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"minimo-review","minimoとは？サロンスタッフ直接予約・口コミ・予約リクエスト・キャンセルを解説【2026年版】","minimo","サロンスタッフ直接予約・口コミ・予約リクエスト・キャンセルを解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"mitsuboshi-farm-review","三ツ星ファームとは？料金・送料・7食/14食/21食・栄養基準を解説【2026年版】","三ツ星ファーム","料金・送料・7食/14食/21食・栄養基準を解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
