slug,oldTitle,phase3Type,displayTitle,subtitle,conversionStatus,notes
"ai-workflow-automation-comparison","AI業務自動化4サービスを比較｜n8n・Gumloop・Lindy・Zapier Agentsどれがおすすめ？","複数サービス比較型","AI業務自動化4サービスを比較","ワークフロー・AI Agent・セルフホスト・連携の違いを比較","移行済み",""
"alternative-education-methods-comparison","幼児教育・教育法4種類を比較｜モンテッソーリ・シュタイナー・レッジョ・イエナプランの違い【2026年版】","複数サービス比較型","幼児教育・教育法4種類を比較","子ども観・環境・遊び・家庭での取り入れ方の違いを比較","移行済み",""
"baseball-streaming-comparison","プロ野球配信サービスを比較｜DAZN・パ・リーグTV・ベースボールLIVE・J SPORTSどれがおすすめ？【2026年版】","複数サービス比較型","プロ野球配信サービスを比較","料金・見られる試合・他スポーツ・契約期間の違いを比較","移行済み",""
"beauty-booking-service-comparison","美容予約サービス4社を比較｜ホットペッパー・minimo・楽天ビューティ・OZmallどれがおすすめ？【2026年版】","複数サービス比較型","美容予約サービス4社を比較","サロン探し・予約導線・ポイント・限定プランの違いを比較","移行済み",""
"best-ai-tools-10-comparison","おすすめAIツール10選を用途別に比較｜生成AI・検索・資料作成・AIエージェントまで【2026年版】","おすすめ / N選型","AIツールおすすめ10選","生成AI・検索・資料作成・AIエージェントを用途別に比較","移行済み",""
"bookoff-vs-surugaya-buyback","ブックオフと駿河屋の宅配買取を比較｜送料・手数料・査定・キャンセルはどっちがおすすめ？【2026年版】","複数サービス比較型","ブックオフと駿河屋の宅配買取を比較","送料・手数料・査定・キャンセルの違いを比較","移行済み",""
"carshare-service-comparison","カーシェア4社を比較｜タイムズ・三井・オリックス・楽天カーシェアどれがおすすめ？【2026年版】","複数サービス比較型","カーシェア4社を比較","月額・時間料金・距離料金・利用頻度の違いを比較","移行済み",""
"casy-vs-bears","CaSyとベアーズを比較｜料金・掃除・料理・担当固定はどっちがおすすめ？【2026年版】","複数サービス比較型","CaSyとベアーズを比較","料金・掃除・料理・担当固定の違いを比較","移行済み",""
"chatgpt-vs-claude-vs-gemini","ChatGPT・Claude・Geminiを比較｜結局どの生成AIがおすすめ？違いを用途別に解説【2026年版】","複数サービス比較型","ChatGPT・Claude・Geminiを比較","料金・生成AI機能・使い方・向いている用途の違いを解説","移行済み",""
"cloud-storage-comparison","クラウドストレージ4社を比較｜Google Drive・iCloud+・OneDrive・Dropboxどれがおすすめ？【2026年版】","複数サービス比較型","クラウドストレージ4社を比較","無料容量・有料容量・写真・OS連携の違いを比較","移行済み",""
"comic-cmoa-vs-ebookjapan","コミックシーモアとebookjapanを比較｜クーポン・PayPay・読み放題・どっちがおすすめ？【2026年版】","複数サービス比較型","コミックシーモアとebookjapanを比較","クーポン・PayPay・読み放題・無料漫画の違いを比較","移行済み",""
"credit-card-comparison","クレジットカード4社を比較｜楽天カード・三井住友カード（NL）・PayPayカード・dカードどれがおすすめ？【2026年版】","複数サービス比較型","クレジットカード4社を比較","年会費・還元率・高還元店・スマホ決済連携の違いを比較","移行済み",""
"dazn-vs-pacific-league-tv","DAZNとパ・リーグTVを比較｜料金・見られる試合・どっちがおすすめ？【2026年版】","複数サービス比較型","DAZNとパ・リーグTVを比較","料金・見られる試合・交流戦・ファーム配信の違いを比較","移行済み",""
"delivery-buyback-service-comparison","宅配買取4社を比較｜ブックオフ・駿河屋・バイセル・セカンドストリートどれがおすすめ？【2026年版】","複数サービス比較型","宅配買取4社を比較","送料・手数料・査定・キャンセルの違いを比較","移行済み",""
"delivery-cleaning-service-comparison","宅配クリーニング4社を比較｜リネット・せんたく便・ホワイト宅配便・クリーニングパンダどれがおすすめ？【2026年版】","複数サービス比較型","宅配クリーニング4社を比較","料金・送料・保管・納期の違いを比較","移行済み",""
"discovery-commerce-comparison","ディスカバリーECとは？TikTok Shop・LIVEコマース・検索ECの違いを解説【2026年版】","選び方 / 用途型","ディスカバリーECと検索ECの違い","TikTok Shop・LIVEコマース・検索ECの使い分けを解説","移行済み",""
"docomo-hikari-review","ドコモ光とは？料金・セット割・プロバイダ選びや他社光回線との違いを解説","Phase 1相当","ドコモ光","料金・セット割・プロバイダ選び、他社光回線との違いを解説","再分類して移行済み","監査CからPhase 1相当へ再分類"
"domestic-travel-booking-comparison","国内旅行・ツアー予約サイトおすすめ6選を比較｜JTB・日本旅行・エアトリ・ニーズツアー・ビッグホリデー・J-TRIP【2026年版】","おすすめ / N選型","国内旅行・ツアー予約サイトおすすめ6選","旅行会社・航空券・国内ツアーの使い分けを比較","移行済み",""
"ebook-service-comparison","電子書籍・漫画サービス4社を比較｜コミックシーモア・ebookjapan・まんが王国・DMMブックスどれがおすすめ？【2026年版】","複数サービス比較型","電子書籍・漫画サービス4社を比較","クーポン・ポイント・読み放題・無料漫画の違いを比較","移行済み",""
"electricity-service-comparison","電気4社を比較｜東京電力・東京ガス・ENEOSでんき・楽天でんきどれがおすすめ？【2026年版】","複数サービス比較型","電気4社を比較","料金単価・燃料費調整・セット割の違いを比較","移行済み",""
"fanza-h-next-rakuten-tv-comparison","成人向け動画サブスク3社比較｜FANZA・H-NEXT・Rakuten TVはどれがいい？【2026年版】","複数サービス比較型","成人向け動画サブスク3社を比較","料金・作品数・見放題・使い方の違いを比較","移行済み",""
"fiber-internet-comparison","光回線4社を比較｜ドコモ光・SoftBank 光・auひかり・NURO 光どれがおすすめ？【2026年版】","複数サービス比較型","光回線4社を比較","料金・スマホ割・工事費・提供エリアの違いを比較","移行済み",""
"fit-easy-vs-anytime-fitness","FIT-EASYとエニタイムフィットネスを比較｜料金・設備・サウナ・相互利用はどっちがおすすめ？【2026年版】","複数サービス比較型","FIT-EASYとエニタイムフィットネスを比較","料金・設備・サウナ・相互利用の違いを比較","移行済み",""
"flea-market-comparison","フリマ4サービスを比較｜メルカリ・Yahoo!フリマ・楽天ラクマ・ジモティーどれがおすすめ？","複数サービス比較型","フリマ4サービスを比較","販売手数料・配送・売れやすさ・地域取引の違いを比較","移行済み",""
"gamma-vs-canva-ai-vs-napkin-ai","Gamma・Canva AI・Napkin AIを比較｜資料作成AIならどれがおすすめ？違い・料金・向いている人を解説【2026年版】","複数サービス比較型","Gamma・Canva AI・Napkin AIを比較","資料作成AIの違い・料金・向いている人を解説","移行済み",""
"genspark-vs-manus","Genspark・Manusを比較｜AIエージェントならどっちがおすすめ？違い・料金・向いている人を解説【2026年版】","複数サービス比較型","GensparkとManusを比較","AIエージェントの違い・料金・向いている人を解説","移行済み",""
"google-drive-vs-icloud","Google DriveとiCloud+を比較｜料金・写真・iPhone・Androidはどっちがおすすめ？【2026年版】","複数サービス比較型","Google DriveとiCloud+を比較","料金・写真・iPhone・Android連携の違いを比較","移行済み",""
"green-beans-vs-aeon-net-super","Green Beansとイオンネットスーパーを比較｜送料・配送エリア・WAON POINTはどっちがおすすめ？【2026年版】","複数サービス比較型","Green Beansとイオンネットスーパーを比較","送料・配送エリア・WAON POINTの違いを比較","移行済み",""
"hotpepper-beauty-vs-minimo","ホットペッパービューティーとminimoを比較｜美容院予約はどっちがおすすめ？【2026年版】","複数サービス比較型","ホットペッパービューティーとminimoを比較","美容院予約の探し方・料金・予約導線の違いを比較","移行済み",""
"housekeeping-service-comparison","家事代行4社を比較｜CaSy・ベアーズ・タスカジ・ピナイどれがおすすめ？【2026年版】","複数サービス比較型","家事代行4社を比較","料金・掃除・料理・スタッフ管理の違いを比較","移行済み",""
"job-change-service-comparison-v1","就職・転職のサービス比較｜TECHBIZ・techadapt・Tecgate転職などを確認済み情報だけで整理","選び方 / 用途型","就職・転職サービス比較","確認済み情報から転職サービスの違いを整理","移行済み",""
"lenet-vs-sentakubin","リネットとせんたく便を比較｜料金・送料・保管・納期はどっちがおすすめ？【2026年版】","複数サービス比較型","リネットとせんたく便を比較","料金・送料・保管・納期の違いを比較","移行済み",""
"meal-delivery-service-comparison","宅配食4社を比較｜nosh・三ツ星ファーム・DELIPICKS・ワタミどれがおすすめ？【2026年版】","複数サービス比較型","宅配食4社を比較","料金・送料・味・栄養・解約条件の違いを比較","移行済み",""
"mobile-plan-comparison","スマホ料金プラン4社を比較｜ahamo・povo・LINEMO・楽天モバイルどれがおすすめ？【2026年版】","複数サービス比較型","スマホ料金プラン4社を比較","料金・通話・回線・海外利用の違いを比較","移行済み",""
"moving-service-comparison","引越しサービス4社を比較｜SUUMO・引越し侍・サカイ・アートの使い分け【2026年版】","複数サービス比較型","引越しサービス4社を比較","一括見積もり・訪問見積もり・荷造りの使い分けを比較","移行済み",""
"music-subscription-comparison","音楽サブスク4社を比較｜Spotify・Apple Music・Amazon Music・YouTube Musicどれがおすすめ？【2026年版】","複数サービス比較型","音楽サブスク4社を比較","料金・音質・無料プラン・対応デバイスの違いを比較","移行済み",""
"net-bank-comparison","ネット銀行4社を比較｜楽天銀行・ドコモの銀行・PayPay銀行・auじぶん銀行どれがおすすめ？【2026年版】","複数サービス比較型","ネット銀行4社を比較","金利・ATM・振込・経済圏連携の違いを比較","移行済み",""
"net-supermarket-comparison","ネットスーパー4社を比較｜Amazonフレッシュ・Green Beans・イオン・楽天マートどれがおすすめ？【2026年版】","複数サービス比較型","ネットスーパー4社を比較","配送料・配送エリア・ポイント・即日配送の違いを比較","移行済み",""
"netflix-vs-unext","NetflixとU-NEXTを比較｜料金・作品・ポイント・同時視聴はどっちがおすすめ？【2026年版】","複数サービス比較型","NetflixとU-NEXTを比較","料金・作品・ポイント・同時視聴の違いを比較","移行済み",""
"nosh-vs-mitsuboshi-farm","noshと三ツ星ファームを比較｜料金・送料・味・栄養・解約はどっちがおすすめ？【2026年版】","複数サービス比較型","noshと三ツ星ファームを比較","料金・送料・味・栄養・解約条件の違いを比較","移行済み",""
"notebooklm-vs-perplexity-vs-gemini","NotebookLM・Perplexity・Geminiを比較｜AIで調べ物をするならどれがおすすめ？違いを用途別に解説【2026年版】","複数サービス比較型","NotebookLM・Perplexity・Geminiを比較","AI調査の用途・情報源・使い分けを解説","移行済み",""
"notta-vs-fathom","NottaとFathomを比較｜どっちがおすすめ？料金・無料版・対応環境の違い【2026年版】","複数サービス比較型","NottaとFathomを比較","料金・無料版・対応環境・使い分けを比較","移行済み",""
"overseas-ec-comparison","海外通販4社比較｜Temu・AliExpress・eBay・SHEINはどれがいい？【2026年版】","複数サービス比較型","海外通販4社を比較","安さ・品揃え・返品・配送の違いを比較","移行済み",""
"ozmall-beauty-review","OZmall美容予約とは？厳選サロン・限定プラン・口コミ・ポイント・キャンセルを解説【2026年版】","Phase 1相当","OZmall美容予約","厳選サロン・限定プラン・口コミ・ポイント・キャンセルを解説","再分類して移行済み","監査CからPhase 1相当へ再分類"
"paypay-vs-merpay","PayPayとメルペイを比較｜還元・送金・メルカリ売上金・iDはどっちがおすすめ？【2026年版】","複数サービス比較型","PayPayとメルペイを比較","還元・送金・メルカリ売上金・iDの違いを比較","移行済み",""
"paypay-vs-rakuten-pay","PayPayと楽天ペイを比較｜還元率・ポイント・チャージ・使いやすさはどっちがおすすめ？【2026年版】","複数サービス比較型","PayPayと楽天ペイを比較","還元率・ポイント・チャージ・使いやすさの違いを比較","移行済み",""
"perplexity-vs-genspark-vs-gemini","Perplexity・Genspark・Geminiを比較｜AI検索ならどれがおすすめ？違いを用途別に解説【2026年版】","複数サービス比較型","Perplexity・Genspark・Geminiを比較","AI検索の違い・用途別の使い分けを解説","移行済み",""
"qr-code-payment-comparison","QRコード決済4社を比較｜PayPay・楽天ペイ・d払い・au PAYどれがおすすめ？【2026年版】","複数サービス比較型","QRコード決済4社を比較","還元率・ポイント・チャージ・使いやすさの違いを比較","移行済み",""
"rakuten-card-vs-smbc-card-nl","楽天カードと三井住友カード（NL）を比較｜還元率・コンビニ・年会費はどっちがおすすめ？【2026年版】","複数サービス比較型","楽天カードと三井住友カード（NL）を比較","還元率・コンビニ特典・年会費の違いを比較","移行済み",""
"runway-vs-kling-ai","RunwayとKling AIを比較｜料金・動画品質・クレジット・商用利用はどっちがおすすめ？【2026年版】","複数サービス比較型","RunwayとKling AIを比較","料金・動画品質・クレジット・商用利用の違いを比較","移行済み",""
"smartphone-payment-8-service-comparison","スマホ決済8社を比較｜PayPay・楽天ペイ・d払い・au PAY・メルペイ・AEON Pay・ファミペイ・J-Coin Payどれがおすすめ？【2026年版】","複数サービス比較型","スマホ決済8社を比較","還元・送金・チャージ・使いやすさの違いを比較","移行済み",""
"spotify-vs-apple-music","SpotifyとApple Musicを比較｜料金・音質・無料プラン・おすすめ機能はどっちがいい？【2026年版】","複数サービス比較型","SpotifyとApple Musicを比較","料金・音質・無料プラン・おすすめ機能の違いを比較","移行済み",""
"suica-vs-pasmo","SuicaとPASMOを比較｜モバイル・定期券・オートチャージはどっちがおすすめ？【2026年版】","複数サービス比較型","SuicaとPASMOを比較","モバイル・定期券・オートチャージの違いを比較","移行済み",""
"tecgate-unison-career-comparison","Tecgate転職とユニゾンキャリアを比較｜IT転職で確認したい違いを整理","複数サービス比較型","Tecgate転職とユニゾンキャリアを比較","IT転職で確認したい違いを整理","移行済み",""
"tepco-standard-review","東京電力のスタンダードSとは？料金・従量電灯Bとの違い・選ぶ意味をわかりやすく解説","Phase 1相当","東京電力 スタンダードS","料金・従量電灯Bとの違い・選ぶ意味を解説","再分類して移行済み","監査CからPhase 1相当へ再分類"
"ticket-pia-lawson-eplus-comparison","チケットぴあ・ローチケ・イープラスを比較｜手数料・先行・発券・リセールの違い【2026年版】","複数サービス比較型","チケットぴあ・ローチケ・イープラスを比較","手数料・先行・発券・リセールの違いを比較","移行済み",""
"times-car-vs-mitsui-carshares","タイムズカーと三井のカーシェアーズを比較｜料金・距離料金・月額はどっちがおすすめ？【2026年版】","複数サービス比較型","タイムズカーと三井のカーシェアーズを比較","料金・距離料金・月額料金の違いを比較","移行済み",""
"transit-ic-comparison","交通系IC4社を比較｜Suica・PASMO・ICOCA・SUGOCAどれがおすすめ？【2026年版】","複数サービス比較型","交通系IC4社を比較","モバイル・定期券・オートチャージ・対応エリアの違いを比較","移行済み",""
"video-streaming-comparison","動画配信サービス4社を比較｜Netflix・Prime Video・U-NEXT・Disney+どれがおすすめ？【2026年版】","複数サービス比較型","動画配信サービス4社を比較","料金・作品ジャンル・使いやすさの違いを比較","移行済み",""
"water-server-comparison","ウォーターサーバー4社を比較｜プレミアムウォーター・コスモ・フレシャス・エブリィフレシャスどれがおすすめ？【2026年版】","複数サービス比較型","ウォーターサーバー4社を比較","料金・ボトル交換・契約期間・解約費用の違いを比較","移行済み",""
"chatgpt-shopping-assistant-review","ChatGPTショッピングアシスタントとは？商品の探し方・比較・購入まで何ができるかを解説","Phase 1相当","ChatGPTショッピングアシスタント","商品の探し方・比較・購入まで何ができるかを解説","再分類して移行済み","Phase 2繰り越し。単体サービス紹介として再分類"
"hikkoshi-zamurai-review","引越し侍とは？一括見積もりとネット比較の違い・電話連絡の注意点まで解説","Phase 1相当","引越し侍","一括見積もりとネット比較の違い・電話連絡の注意点を解説","再分類して移行済み","Phase 2繰り越し。単体サービス紹介として再分類"
"suumo-moving-estimate-review","SUUMO引越し見積もりとは？電話番号なしで比較できる仕組み・使い方まで解説","Phase 1相当","SUUMO引越し見積もり","電話番号なしで比較できる仕組み・使い方を解説","再分類して移行済み","Phase 2繰り越し。単体サービス紹介として再分類"
"yahoo-shopping-ai-agent-review","Yahoo!ショッピング AIエージェントとは？商品探し・比較・購入後まで何ができるか解説","Phase 1相当","Yahoo!ショッピング AIエージェント","商品探し・比較・購入後まで何ができるかを解説","再分類して移行済み","Phase 2繰り越し。単体サービス紹介として再分類"
